sku,product_name,myntra_url,myntra_price,match_score
"XM2005","Men's Muscle Tank","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-relaxed-fit-sport-to-street-t-shirt/39062509/buy",699,71
"XM2006","Men's Sports Tank","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-sport-to-street-drop-shoulder-pure-cotton-tank-t-shirt/39115462/buy",699,60
"XM5006","Men's Flex Collective 7 Training Shorts","https://www.myntra.com/shorts/ten+x+you/ten-x-you-women-flex-collective-6-training-shorts/39109746/buy",999,71
"XM5007","Men's 5 Lined Running Shorts","https://www.myntra.com/shorts/ten+x+you/ten-x-you-men-run-the-world-5-lined-running-shorts/39062448/buy",1499,78
"XM5008","Men's 7 Lined Running Shorts","https://www.myntra.com/shorts/ten+x+you/ten-x-you-men-run-the-world-5-lined-running-shorts/39062448/buy",1499,78
"XM5009","Men's Workout Shorts","https://www.myntra.com/shorts/ten+x+you/ten-x-you-men-365-sport-to-street-shorts/39062443/buy",999,100
"XU002","Centurion Pro Batsman Shoe","https://www.myntra.com/sports-shoes/ten+x+you/ten-x-you-all-rounder-cricket-shoe---ultra-lightweight-full-rubber-studs-for-superior-grip/40099354/buy",3050,45
"XU003","Unisex Switch Fan Edit Multi-Sport Sneaker","https://www.myntra.com/sports-shoes/ten+x+you/ten-x-you-unisex-switch-fan-edit-20-multi-sport-shoes/40949265/buy",3599,75
"XU003-2","Unisex Switch OG 1.0 Multi-Sport Sneaker","https://www.myntra.com/sports-shoes/ten+x+you/ten-x-you-unisex-switch-fan-edit-20-multi-sport-shoes/40949265/buy",3599,75
"XU003-3","Switch Hit Semi-Pro Cricket Shoe","https://www.myntra.com/sports-shoes/ten+x+you/ten-x-you-unisex-switch-fan-edit-20-multi-sport-shoes/40949265/buy",3599,75
"XU004","Unisex Switch Street Multi-Sport Sneaker","https://www.myntra.com/sports-shoes/ten+x+you/ten-x-you-men-switch-og-20-cricket-shoes/40099353/buy",3499,57
"XU005","Unisex Aeonic Running Shoe","https://www.myntra.com/sports-shoes/ten+x+you/ten-x-you-unisex-aeonic-recovery-running-shoes-with-cushioned-arch-support/39048049/buy",3499,55
"XU006","Unisex Zenflo Walking Shoe","https://www.myntra.com/sports-shoes/ten+x+you/ten-x-you-unisex-zenflo-arch-support-walking-slip-on-shoes/39073887/buy",4999,67
"XU007","Unisex Crossover Slip On Sneaker","https://www.myntra.com/sports-shoes/ten+x+you/ten-x-you-unisex-crossover-light-gym-to-street-slip-on-sneakers-with-arch-support/39073896/buy",4999,50
"XU008","Unisex Sundowner Denim Sneaker","https://www.myntra.com/casual-shoes/ten+x+you/ten-x-you-unisex-sundowner-denim-lifestyle-sneakers/39073847/buy",2999,71
"XU009","NOX Legacy Sneaker","https://www.myntra.com/casual-shoes/ten+x+you/ten-x-you-unisex-sachins-nox-legacy-lace-up-leather-sneakers/39073863/buy",2799,67
"XU009-2","Native - Bombay Blues","https://www.myntra.com/casual-shoes/ten+x+you/ten-x-you-unisex-sachins-nox-legacy-lace-up-leather-sneakers/39073863/buy",2799,67
"XU011","All-rounder Cricket Shoe","https://www.myntra.com/sports-shoes/ten+x+you/ten-x-you-men-all-rounder-cricket-shoe/40099352/buy",3050,43
"XU012","Unisex Switch OG 2.0 Multi-Sport Sneaker","https://www.myntra.com/sports-shoes/ten+x+you/ten-x-you-all-rounder-cricket-shoe---ultra-lightweight-full-rubber-studs-for-superior-grip/40099354/buy",3050,83
"XU013","Unisex Switch Fan Edit 2.0 Multi-Sport Sneaker","https://www.myntra.com/sports-shoes/ten+x+you/ten-x-you-unisex-switch-fan-edit-20-multi-sport-sneaker/40949260/buy",3599,67
"XU017","All-rounder Swing Cricket Shoe","https://www.myntra.com/sports-shoes/ten+x+you/ten-x-you-men-all-rounder-cricket-shoe/40099352/buy",3050,80
"XU089","Nox -The Debut Sneaker","https://www.myntra.com/casual-shoes/ten+x+you/ten-x-you-unisex-sachins-nox-legacy-lace-up-leather-sneakers/39073863/buy",2799,50
"XW1000","Women's Flex Collective Lightweight Training Tee","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-lightweight-buttery-feel-gym-and-training-t-shirt/39109690/buy",999,56
"XW1003","Women's Long Distance Running Tee","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-run-the-world-lightweight-running-t-shirt/39109691/buy",999,75
"XW1009","Women's Street Sport Oversized Tee","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-relaxed-fit-sport-to-street-t-shirt/39062509/buy",699,50
"XW1010","Women's Relaxed Fit Tee","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-relaxed-fit-sport-to-street-t-shirt/39062509/buy",699,71
"XW1011","Women's Slim Fit Tee","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-slim-fit-soft-athleisure-t-shirt/39062511/buy",799,86
"XW1012","Women's Ultra-lightweight Tempo Running Tee","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-lightweight-melange-running-t-shirt/39109695/buy",799,67
"XW2003","Women's Muscle Tank","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-relaxed-fit-sport-to-street-t-shirt/39062509/buy",699,50
"XW2004","Women's Ribbed Tank","https://www.myntra.com/tops/ten+x+you/ten-x-you-ultra-soft-ribbed-sleeveless-moisture-wicking-tank-top/39118259/buy",699,70
"XW2005","Women's Ultra-lightweight Tempo Running Tank","https://www.myntra.com/tshirts/ten+x+you/ten-x-you-run-the-world-lightweight-running-t-shirt/39109691/buy",999,75
"XW3007R","Flow-State Mid Impact Leggings","https://www.myntra.com/leggings/ten+x+you/ten-x-you-women-ankle-length-leggings/41371883/buy",1499,100
"XW3007T","Flow-State Mid Impact Leggings","https://www.myntra.com/leggings/ten+x+you/ten-x-you-women-ankle-length-leggings/41371883/buy",1499,100
"XW3014R","Sculptex - High Impact Leggings","https://www.myntra.com/leggings/ten+x+you/ten-x-you-women-ankle-length-leggings/41371883/buy",1499,40
"XW3014T","Sculptex - High Impact Leggings","https://www.myntra.com/leggings/ten+x+you/ten-x-you-women-ankle-length-leggings/41371883/buy",1499,40
"XW5002","Women's 4 Lined Running Shorts","https://www.myntra.com/shorts/ten+x+you/ten-x-you-women-run-the-world-4-lined-running-shorts/39109742/buy",1499,78
"XW5003","Women's Flex Collective 6 Training Shorts","https://www.myntra.com/shorts/ten+x+you/ten-x-you-women-flex-collective-6-training-shorts/39109746/buy",999,86
"XW5005","Women's 6 Lined Running Shorts","https://www.myntra.com/shorts/ten+x+you/ten-x-you-women-run-the-world-4-lined-running-shorts/39109742/buy",1499,78
"XW5006","Women's Workout Shorts","https://www.myntra.com/shorts/ten+x+you/ten-x-you-women-365-sportstyle-shorts/39109736/buy",999,100
"XW5007","Sculptex High Impact Biker Shorts","https://www.myntra.com/shorts/ten+x+you/ten-x-you-women-flex-collective-6-training-shorts/39109746/buy",999,50
